"TimeStamp_1","YYYY","MM","DD","hh","mm","WDIR","WSPD","rWSPD","Fetch","SWHft"
"2004-11-01",2004,11,1,0,0,120,13.4,NA,14484.06,3.24913316591575
"2004-11-01 01:00:00",2004,11,1,1,0,80,8.2,13.4,14484.06,3.24913316591575
"2004-11-01 02:00:00",2004,11,1,2,0,340,7.7,8.2,14484.06,1.96035885060491
"2004-11-01 03:00:00",2004,11,1,3,0,10,10.3,7.7,14484.06,2.00124853323918
"2004-11-01 04:00:00",2004,11,1,4,0,50,11.8,10.3,14484.06,3.25495680243835
"2004-11-01 05:00:00",2004,11,1,5,0,280,2.1,11.8,14484.06,3.29833342466463
"2004-11-01 06:00:00",2004,11,1,6,0,0,0.25,2.1,14484.06,0.298153063181937
"2004-11-01 07:00:00",2004,11,1,7,0,20,1.5,0.25,14484.06,0.329991605370742
"2004-11-01 08:00:00",2004,11,1,8,0,300,3.1,1.5,14484.06,0.30785318478669
"2004-11-01 09:00:00",2004,11,1,9,0,260,3.1,3.1,14484.06,0.287078102027146
"2004-11-01 10:00:00",2004,11,1,10,0,120,5.1,3.1,14484.06,0.298296349306283
"2004-11-01 11:00:00",2004,11,1,11,0,20,2.6,5.1,14484.06,0.672073265140759
"2004-11-01 12:00:00",2004,11,1,12,0,50,5.7,2.6,14484.06,0.27785865076275
"2004-11-01 13:00:00",2004,11,1,13,0,280,9.8,5.7,14484.06,1.96643131715637
"2004-11-01 14:00:00",2004,11,1,14,0,320,4.6,9.8,14484.06,3.28402862584448
"2004-11-01 15:00:00",2004,11,1,15,0,300,10.3,4.6,14484.06,0.698624088120888
"2004-11-01 16:00:00",2004,11,1,16,0,30,3.1,10.3,14484.06,3.31798634266026
"2004-11-01 17:00:00",2004,11,1,17,0,320,4.6,3.1,14484.06,0.357482662613313
"2004-11-01 18:00:00",2004,11,1,18,0,350,10.3,4.6,14484.06,0.635284916323943
"2004-11-01 19:00:00",2004,11,1,19,0,320,1.5,10.3,14484.06,3.27293946372368
"2004-11-01 20:00:00",2004,11,1,20,0,90,4.6,1.5,14484.06,0.374917379281176
"2004-11-01 21:00:00",2004,11,1,21,0,350,4.1,4.6,14484.06,0.634421507821098
"2004-11-01 22:00:00",2004,11,1,22,0,320,4.6,4.1,14484.06,0.673689707507438
"2004-11-01 23:00:00",2004,11,1,23,0,270,3.1,4.6,14484.06,0.681098405793894
"2004-11-02",2004,11,2,0,0,70,5.1,3.1,14484.06,0.288196933506345
"2004-11-02 01:00:00",2004,11,2,1,0,10,10.8,5.1,14484.06,0.642806701423663
"2004-11-02 02:00:00",2004,11,2,2,0,60,3.1,10.8,14484.06,3.28857147535443
"2004-11-02 03:00:00",2004,11,2,3,0,30,3.6,3.1,14484.06,0.285257655123833
"2004-11-02 04:00:00",2004,11,2,4,0,20,5.1,3.6,14484.06,0.631052837317369
"2004-11-02 05:00:00",2004,11,2,5,0,330,1.5,5.1,14484.06,0.61190400687356
"2004-11-02 06:00:00",2004,11,2,6,0,20,2.6,1.5,14484.06,0.274339023563774
"2004-11-02 07:00:00",2004,11,2,7,0,290,5.1,2.6,14484.06,0.355751826816707
"2004-11-02 08:00:00",2004,11,2,8,0,40,2.1,5.1,14484.06,0.697871408877855
"2004-11-02 09:00:00",2004,11,2,9,0,240,2.1,2.1,14484.06,0.28075750728266
"2004-11-02 10:00:00",2004,11,2,10,0,210,11.8,2.1,14484.06,0.326207944809996
"2004-11-02 11:00:00",2004,11,2,11,0,20,7.2,11.8,14484.06,3.2347366488435
"2004-11-02 12:00:00",2004,11,2,12,0,350,8.2,7.2,14484.06,1.9606331163687
"2004-11-02 13:00:00",2004,11,2,13,0,110,9.3,8.2,14484.06,1.9752206575212
"2004-11-02 14:00:00",2004,11,2,14,0,60,4.6,9.3,14484.06,3.23920796750016
"2004-11-02 15:00:00",2004,11,2,15,0,40,8.2,4.6,14484.06,0.629875494947936
"2004-11-02 16:00:00",2004,11,2,16,0,260,1,8.2,14484.06,2.00044912600295
"2004-11-02 17:00:00",2004,11,2,17,0,270,2.1,1,14484.06,0.347250492092863
"2004-11-02 18:00:00",2004,11,2,18,0,20,6.2,2.1,14484.06,0.345211864235917
"2004-11-02 19:00:00",2004,11,2,19,0,190,2.1,6.2,14484.06,1.96337984687645
"2004-11-02 20:00:00",2004,11,2,20,0,110,6.2,2.1,14484.06,0.337858174469129
"2004-11-02 21:00:00",2004,11,2,21,0,100,9.8,6.2,14484.06,1.97580349495094
"2004-11-02 22:00:00",2004,11,2,22,0,350,10.3,9.8,14484.06,3.27712633356236
"2004-11-02 23:00:00",2004,11,2,23,0,90,4.1,10.3,14484.06,3.28061340047298
"2004-11-03",2004,11,3,0,0,60,3.1,4.1,14484.06,0.650758729848813
"2004-11-03 01:00:00",2004,11,3,1,0,290,5.7,3.1,14484.06,0.281872366680695
"2004-11-03 02:00:00",2004,11,3,2,0,320,8.8,5.7,14484.06,2.0160264839857
"2004-11-03 03:00:00",2004,11,3,3,0,240,3.6,8.8,14484.06,3.30917102020712
"2004-11-03 04:00:00",2004,11,3,4,0,20,5.1,3.6,14484.06,0.597180753212687
"2004-11-03 05:00:00",2004,11,3,5,0,350,8.2,5.1,14484.06,0.69862711703302
"2004-11-03 06:00:00",2004,11,3,6,0,330,4.6,8.2,14484.06,1.95817085606909
"2004-11-03 07:00:00",2004,11,3,7,0,30,0.5,4.6,14484.06,0.655266331246934
"2004-11-03 08:00:00",2004,11,3,8,0,290,11.3,0.5,14484.06,0.37540917470242
"2004-11-03 09:00:00",2004,11,3,9,0,330,2.6,11.3,14484.06,3.2864812696816
"2004-11-03 10:00:00",2004,11,3,10,0,30,4.6,2.6,14484.06,0.278039501488577
"2004-11-03 11:00:00",2004,11,3,11,0,280,9.8,4.6,14484.06,0.59710721430914
"2004-11-03 12:00:00",2004,11,3,12,0,130,12.4,9.8,14484.06,3.22969854298538
"2004-11-03 13:00:00",2004,11,3,13,0,80,4.1,12.4,14484.06,3.29007330184643
"2004-11-03 14:00:00",2004,11,3,14,0,240,5.7,4.1,14484.06,0.617052770090901
"2004-11-03 15:00:00",2004,11,3,15,0,90,5.7,5.7,14484.06,1.98177676608836
"2004-11-03 16:00:00",2004,11,3,16,0,310,12.9,5.7,14484.06,1.95179547901533
"2004-11-03 17:00:00",2004,11,3,17,0,350,10.3,12.9,14484.06,3.28081331748567
"2004-11-03 18:00:00",2004,11,3,18,0,110,3.6,10.3,14484.06,3.25255542293845
"2004-11-03 19:00:00",2004,11,3,19,0,330,8.8,3.6,14484.06,0.664405700989168
"2004-11-03 20:00:00",2004,11,3,20,0,300,5.7,8.8,14484.06,3.31166129356051
"2004-11-03 21:00:00",2004,11,3,21,0,320,9.8,5.7,14484.06,1.93214370524567
"2004-11-03 22:00:00",2004,11,3,22,0,350,4.1,9.8,14484.06,3.30271937047725
"2004-11-03 23:00:00",2004,11,3,23,0,350,6.7,4.1,14484.06,0.680101247171073
"2004-11-04",2004,11,4,0,0,190,3.6,6.7,14484.06,1.94717657270014
"2004-11-04 01:00:00",2004,11,4,1,0,310,7.7,3.6,14484.06,0.64334191310113
"2004-11-04 02:00:00",2004,11,4,2,0,190,3.1,7.7,14484.06,1.97792170248893
"2004-11-04 03:00:00",2004,11,4,3,0,230,10.3,3.1,14484.06,0.343456149588993
"2004-11-04 04:00:00",2004,11,4,4,0,30,5.7,10.3,14484.06,3.27830026496412
"2004-11-04 05:00:00",2004,11,4,5,0,140,1,5.7,14484.06,1.95845126308627
"2004-11-04 06:00:00",2004,11,4,6,0,360,5.7,1,14484.06,0.303766352260883
"2004-11-04 07:00:00",2004,11,4,7,0,100,7.2,5.7,14484.06,1.9388792438693
"2004-11-04 08:00:00",2004,11,4,8,0,300,9.3,7.2,14484.06,1.95358519939501
"2004-11-04 09:00:00",2004,11,4,9,0,140,2.1,9.3,14484.06,3.27050783479082
"2004-11-04 10:00:00",2004,11,4,10,0,310,7.7,2.1,14484.06,0.272890731424427
