"TimeStamp_1","YYYY","MM","DD","hh","mm","WDIR","WSPD","rWSPD","rWSPD_T","Fetch"
"1973-11-01",1973,11,1,0,0,210,8.8,NA,NA,16093.4
"1973-11-01 01:00:00",1973,11,1,1,0,220,7.7,8.8,9.19109,16093.4
"1973-11-01 02:00:00",1973,11,1,2,0,220,8.8,7.7,8.50326,16093.4
"1973-11-01 03:00:00",1973,11,1,3,0,230,8.2,8.8,9.19109,16093.4
"1973-11-01 04:00:00",1973,11,1,4,0,230,8.8,8.2,8.81591,16093.4
"1973-11-01 05:00:00",1973,11,1,5,0,220,8.8,8.8,9.19109,16093.4
"1973-11-01 06:00:00",1973,11,1,6,0,170,7.7,8.8,9.19109,16093.4
"1973-11-01 07:00:00",1973,11,1,7,0,160,5.2,7.7,8.50326,16093.4
"1973-11-01 08:00:00",1973,11,1,8,0,170,9.3,5.2,6.94001,16093.4
"1973-11-01 09:00:00",1973,11,1,9,0,170,9.8,9.3,9.50374,16093.4
"1973-11-01 10:00:00",1973,11,1,10,0,190,9.3,9.8,9.81639,16093.4
"1973-11-01 11:00:00",1973,11,1,11,0,210,9.3,9.3,9.50374,16093.4
"1973-11-01 12:00:00",1973,11,1,12,0,210,11.8,9.3,9.50374,16093.4
"1973-11-01 13:00:00",1973,11,1,13,0,220,12.4,11.8,11.06699,16093.4
"1973-11-01 14:00:00",1973,11,1,14,0,240,13.9,12.4,12.97008,16093.4
"1973-11-01 15:00:00",1973,11,1,15,0,250,14.4,13.9,13.96038,16093.4
"1973-11-01 16:00:00",1973,11,1,16,0,260,15.5,14.4,14.29048,16093.4
"1973-11-01 17:00:00",1973,11,1,17,0,270,19.6,15.5,15.0167,16093.4
"1973-11-01 18:00:00",1973,11,1,18,0,270,12.9,19.6,17.72352,16093.4
"1973-11-01 19:00:00",1973,11,1,19,0,270,19.1,12.9,13.30018,16093.4
"1973-11-01 20:00:00",1973,11,1,20,0,280,19.1,19.1,17.39342,16093.4
"1973-11-01 21:00:00",1973,11,1,21,0,280,19.1,19.1,17.39342,16093.4
"1973-11-01 22:00:00",1973,11,1,22,0,270,19.1,19.1,17.39342,16093.4
"1973-11-01 23:00:00",1973,11,1,23,0,270,14.4,19.1,17.39342,16093.4
"1973-11-02",1973,11,2,0,0,270,14.4,14.4,14.29048,16093.4
"1973-11-02 01:00:00",1973,11,2,1,0,260,10.3,14.4,14.29048,16093.4
"1973-11-02 02:00:00",1973,11,2,2,0,270,10.3,10.3,11.58366,16093.4
"1973-11-02 03:00:00",1973,11,2,3,0,270,9.8,10.3,11.58366,16093.4
"1973-11-02 04:00:00",1973,11,2,4,0,270,10.8,9.8,11.25356,16093.4
"1973-11-02 05:00:00",1973,11,2,5,0,260,11.3,10.8,11.91376,16093.4
"1973-11-02 06:00:00",1973,11,2,6,0,280,9.3,11.3,12.24386,16093.4
"1973-11-02 07:00:00",1973,11,2,7,0,270,10.3,9.3,10.92346,16093.4
"1973-11-02 08:00:00",1973,11,2,8,0,260,9.3,10.3,11.58366,16093.4
"1973-11-02 09:00:00",1973,11,2,9,0,250,9.3,9.3,10.92346,16093.4
"1973-11-02 10:00:00",1973,11,2,10,0,260,9.3,9.3,10.92346,16093.4
"1973-11-02 11:00:00",1973,11,2,11,0,260,11.8,9.3,10.92346,16093.4
"1973-11-02 12:00:00",1973,11,2,12,0,260,11.3,11.8,12.57396,16093.4
"1973-11-02 13:00:00",1973,11,2,13,0,250,8.8,11.3,12.24386,16093.4
"1973-11-02 14:00:00",1973,11,2,14,0,270,8.8,8.8,10.59336,16093.4
"1973-11-02 15:00:00",1973,11,2,15,0,270,10.3,8.8,10.59336,16093.4
"1973-11-02 16:00:00",1973,11,2,16,0,240,10.3,10.3,11.58366,16093.4
"1973-11-02 17:00:00",1973,11,2,17,0,250,11.3,10.3,11.58366,16093.4
"1973-11-02 18:00:00",1973,11,2,18,0,240,7.7,11.3,12.24386,16093.4
"1973-11-02 19:00:00",1973,11,2,19,0,240,7.2,7.7,9.86714,16093.4
"1973-11-02 20:00:00",1973,11,2,20,0,240,6.7,7.2,9.53704,16093.4
"1973-11-02 21:00:00",1973,11,2,21,0,190,9.3,6.7,7.87796,16093.4
"1973-11-02 22:00:00",1973,11,2,22,0,190,10.3,9.3,9.50374,16093.4
"1973-11-02 23:00:00",1973,11,2,23,0,210,7.7,10.3,10.12904,16093.4
"1973-11-03",1973,11,3,0,0,210,9.3,7.7,8.50326,16093.4
"1973-11-03 01:00:00",1973,11,3,1,0,220,6.7,9.3,9.50374,16093.4
"1973-11-03 02:00:00",1973,11,3,2,0,330,7.2,6.7,7.87796,16093.4
"1973-11-03 03:00:00",1973,11,3,3,0,210,10.3,7.2,8.19061,16093.4
"1973-11-03 04:00:00",1973,11,3,4,0,240,11.3,10.3,11.58366,16093.4
"1973-11-03 05:00:00",1973,11,3,5,0,230,11.3,11.3,10.75434,16093.4
"1973-11-03 06:00:00",1973,11,3,6,0,260,8.8,11.3,12.24386,16093.4
"1973-11-03 07:00:00",1973,11,3,7,0,250,9.3,8.8,10.59336,16093.4
"1973-11-03 08:00:00",1973,11,3,8,0,300,11.8,9.3,10.92346,16093.4
"1973-11-03 09:00:00",1973,11,3,9,0,300,11.3,11.8,12.57396,16093.4
